State,Function,FT_Emp,FT_Dollar,PT_Emp,PT_Dollar,FTE_Emp,FTPT_Emp,Total,Spending,Spend_Mil
AL,Financial Administration,"6,191","28,360,500",403,"524,358","6,386","6,594","28,884,858",28884858,28.884858
AL,Other Government Administration,"3,014","14,664,627","2,397","2,313,945","3,536","5,411","16,978,572",16978572,16.978572
AL,Judicial and Legal,"4,588","23,277,112",751,"953,962","4,926","5,339","24,231,074",24231074,24.231074
AL,Police Protection,"14,501","68,275,476","1,433","1,719,630","15,192","15,934","69,995,106",69995106,69.995106
AL,Fire Protection,"5,925","31,762,009",955,"862,197","6,238","6,880","32,624,206",32624206,32.624206
AL,Corrections,"7,621","32,338,138",562,"999,387","7,940","8,183","33,337,525",33337525,33.337525
AL,Highways,"10,212","38,613,779",449,"621,307","10,473","10,661","39,235,086",39235086,39.235086
AL,Air Transportation,522,"2,159,492",57,"59,109",552,579,"2,218,601",2218601,2.218601
AL,Sea and Inland Port Facilities,519,"3,019,621",7,"6,393",520,526,"3,026,014",3026014,3.026014
AL,Public Welfare,"5,049","18,711,011",507,"832,319","5,311","5,556","19,543,330",19543330,19.54333
AL,Health,"12,258","46,619,418","1,454","2,708,765","12,914","13,712","49,328,183",49328183,49.328183
AL,Hospitals,"32,478","156,965,333","10,550","27,943,467","38,617","43,028","184,908,800",184908800,184.9088
AL,Social Insurance Administration,794,"3,351,518",0,0,794,794,"3,351,518",3351518,3.351518
AL,Solid Waste Management,"3,032","10,124,655",175,"204,001","3,130","3,207","10,328,656",10328656,10.328656
AL,Sewerage,"1,466","6,668,828",56,"59,677","1,488","1,522","6,728,505",6728505,6.728505
AL,Parks and Recreation,"3,343","13,049,017","2,856","2,274,904","4,647","6,199","15,323,921",15323921,15.323921
AL,Housing & Community Development,"1,895","8,060,306",113,"162,467","1,951","2,008","8,222,773",8222773,8.222773
AL,Natural Resources,"2,325","9,493,943",253,"340,362","2,447","2,578","9,834,305",9834305,9.834305
AL,Water Supply,"3,792","17,736,976",306,"299,654","3,928","4,098","18,036,630",18036630,18.03663
AL,Electric Power,"1,095","5,687,758",20,"30,962","1,107","1,115","5,718,720",5718720,5.71872
AL,Gas Supply,919,"4,516,419",40,"51,106",937,959,"4,567,525",4567525,4.567525
AL,Transit,479,"1,721,208",191,"230,652",599,670,"1,951,860",1951860,1.95186
AL,Education,"131,363","601,923,519","40,230","37,566,125","144,717","171,593","639,489,644",639489644,639.489644
AL,Libraries,889,"3,703,059",694,"911,839","1,282","1,583","4,614,898",4614898,4.614898
AL,State liquor stores,876,"2,723,461",19,"47,326",888,895,"2,770,787",2770787,2.770787
AL,All other and unallocable,"6,145","26,311,078",846,"960,887","6,656","6,991","27,271,965",27271965,27.271965
AK,Financial Administration,"1,994","13,400,530",137,"226,926","2,056","2,131","13,627,456",13627456,13.627456
AK,Other Government Administration,"1,567","9,507,387",598,"382,191","1,654","2,165","9,889,578",9889578,9.889578
AK,Judicial and Legal,"1,743","11,582,726",71,"157,808","1,773","1,814","11,740,534",11740534,11.740534
AK,Police Protection,"1,934","16,412,559",135,"153,175","1,981","2,069","16,565,734",16565734,16.565734
AK,Fire Protection,809,"7,283,230",525,"276,400",893,"1,334","7,559,630",7559630,7.55963
AK,Corrections,"2,137","14,318,239",54,"143,757","2,182","2,191","14,461,996",14461996,14.461996
AK,Highways,"3,257","21,319,390",120,"162,074","3,304","3,377","21,481,464",21481464,21.481464
AK,Air Transportation,71,"459,972",6,"16,129",75,77,"476,101",476101,0.476101
AK,Sea and Inland Port Facilities,167,"997,055",20,"40,021",174,187,"1,037,076",1037076,1.037076
AK,Public Welfare,"1,701","9,256,453",88,"182,752","1,768","1,789","9,439,205",9439205,9.439205
AK,Health,"1,089","6,925,609",224,"309,617","1,152","1,313","7,235,226",7235226,7.235226
AK,Hospitals,953,"6,590,980",212,"849,225","1,086","1,165","7,440,205",7440205,7.440205
AK,Social Insurance Administration,245,"1,304,846",0,0,245,245,"1,304,846",1304846,1.304846
AK,Solid Waste Management,322,"1,773,722",111,"141,263",366,433,"1,914,985",1914985,1.914985
AK,Sewerage,291,"2,061,817",51,"85,166",313,342,"2,146,983",2146983,2.146983
AK,Parks and Recreation,567,"3,068,118",481,"543,468",755,"1,048","3,611,586",3611586,3.611586
AK,Housing & Community Development,654,"4,162,616",94,"237,223",703,748,"4,399,839",4399839,4.399839
AK,Natural Resources,"1,981","12,449,720",45,"130,400","2,000","2,026","12,580,120",12580120,12.58012
AK,Water Supply,327,"2,203,104",94,"133,775",367,421,"2,336,879",2336879,2.336879
AK,Electric Power,469,"4,265,629",59,"69,024",487,528,"4,334,653",4334653,4.334653
AK,Gas Supply,0,0,1,"1,703",0,1,"1,703",1703,0.001703
AK,Transit,229,"1,498,960",57,"204,058",273,286,"1,703,018",1703018,1.703018
AK,Education,"21,116","115,675,644","8,528","12,660,069","23,967","29,644","128,335,713",128335713,128.335713
AK,Libraries,194,"948,951",214,"330,442",279,408,"1,279,393",1279393,1.279393
AK,State liquor stores,0,0,0,0,0,0,0,0,0
AK,All other and unallocable,"2,838","18,998,758",293,"284,011","2,949","3,131","19,282,769",19282769,19.282769
AZ,Financial Administration,"7,080","39,203,181",218,"417,798","7,198","7,298","39,620,979",39620979,39.620979
AZ,Other Government Administration,"4,872","28,834,904",648,"1,114,754","5,131","5,520","29,949,658",29949658,29.949658
AZ,Judicial and Legal,"10,873","56,191,279",510,"1,107,687","11,127","11,383","57,298,966",57298966,57.298966
AZ,Police Protection,"20,258","134,857,986",439,"693,030","20,463","20,697","135,551,016",135551016,135.551016
AZ,Fire Protection,"9,264","69,729,122","1,249","944,703","9,654","10,513","70,673,825",70673825,70.673825
AZ,Corrections,"14,092","59,623,085",235,"472,524","14,211","14,327","60,095,609",60095609,60.095609
AZ,Highways,"6,309","31,056,481",150,"209,219","6,388","6,459","31,265,700",31265700,31.2657
AZ,Air Transportation,"1,186","7,910,860",36,"31,975","1,200","1,222","7,942,835",7942835,7.942835
AZ,Sea and Inland Port Facilities,0,0,0,0,0,0,0,0,0
AZ,Public Welfare,"7,674","30,085,404",294,"354,498","7,817","7,968","30,439,902",30439902,30.439902
AZ,Health,"4,880","23,330,672",268,"654,349","5,031","5,148","23,985,021",23985021,23.985021
AZ,Hospitals,"3,998","23,303,502",662,"2,500,442","4,287","4,660","25,803,944",25803944,25.803944
AZ,Social Insurance Administration,"2,183","7,683,749",19,"29,155","2,193","2,202","7,712,904",7712904,7.712904
AZ,Solid Waste Management,"2,179","11,725,778",60,"148,988","2,214","2,239","11,874,766",11874766,11.874766
AZ,Sewerage,"1,340","6,630,912",97,"77,445","1,380","1,437","6,708,357",6708357,6.708357
AZ,Parks and Recreation,"3,599","15,666,789","4,218","3,422,938","5,239","7,817","19,089,727",19089727,19.089727
AZ,Housing & Community Development,"1,271","7,201,562",178,"184,496","1,338","1,449","7,386,058",7386058,7.386058
AZ,Natural Resources,"2,113","9,467,989",270,"366,550","2,228","2,383","9,834,539",9834539,9.834539
AZ,Water Supply,"3,984","24,328,434",142,"150,440","4,037","4,126","24,478,874",24478874,24.478874
AZ,Electric Power,"5,025","48,509,881",230,"841,801","5,203","5,255","49,351,682",49351682,49.351682
AZ,Gas Supply,21,"93,769",0,0,21,21,"93,769",93769,0.093769
AZ,Transit,740,"4,198,059",154,"340,141",819,894,"4,538,200",4538200,4.5382
AZ,Education,"130,906","618,003,055","73,818","96,576,896","160,681","204,724","714,579,951",714579951,714.579951
AZ,Libraries,"1,240","5,621,302","1,071","1,652,148","1,735","2,311","7,273,450",7273450,7.27345
AZ,State liquor stores,0,0,0,0,0,0,0,0,0
AZ,All other and unallocable,"6,296","32,057,437",791,"1,202,744","6,587","7,087","33,260,181",33260181,33.260181
AR,Financial Administration,"4,466","17,215,303",545,"553,625","4,654","5,011","17,768,928",17768928,17.768928
AR,Other Government Administration,"2,907","10,990,408","3,004","1,351,442","3,317","5,911","12,341,850",12341850,12.34185
AR,Judicial and Legal,"3,162","11,978,613",598,"933,445","3,378","3,760","12,912,058",12912058,12.912058
AR,Police Protection,"8,888","35,386,509",766,"636,970","9,158","9,654","36,023,479",36023479,36.023479
AR,Fire Protection,"2,955","14,424,452","2,024","630,374","3,241","4,979","15,054,826",15054826,15.054826
AR,Corrections,"7,952","26,350,555",188,"226,657","8,040","8,140","26,577,212",26577212,26.577212
AR,Highways,"7,245","24,926,679",316,"354,082","7,417","7,561","25,280,761",25280761,25.280761
AR,Air Transportation,310,"1,299,680",31,"31,742",327,341,"1,331,422",1331422,1.331422
AR,Sea and Inland Port Facilities,23,"87,813",4,"3,110",23,27,"90,923",90923,0.090923
AR,Public Welfare,"4,385","16,053,427",100,"99,914","4,421","4,485","16,153,341",16153341,16.153341
AR,Health,"3,766","16,159,861",143,"246,135","3,826","3,909","16,405,996",16405996,16.405996
AR,Hospitals,"8,166","35,427,648","1,095","2,271,934","8,837","9,261","37,699,582",37699582,37.699582
AR,Social Insurance Administration,"1,186","4,933,567",12,"68,552","1,195","1,198","5,002,119",5002119,5.002119
AR,Solid Waste Management,"1,558","4,372,177",194,"173,428","1,636","1,752","4,545,605",4545605,4.545605
AR,Sewerage,"1,175","4,613,105",80,"76,099","1,203","1,255","4,689,204",4689204,4.689204
AR,Parks and Recreation,"2,414","7,339,009","1,150","1,050,834","2,887","3,564","8,389,843",8389843,8.389843
AR,Housing & Community Development,902,"3,257,294",195,"222,007","1,005","1,097","3,479,301",3479301,3.479301
AR,Natural Resources,"1,951","7,689,805",342,"422,261","2,068","2,293","8,112,066",8112066,8.112066
AR,Water Supply,"2,361","9,347,563",295,"331,170","2,492","2,656","9,678,733",9678733,9.678733
AR,Electric Power,421,"2,422,564",10,"12,317",426,431,"2,434,881",2434881,2.434881
AR,Gas Supply,8,"29,759",0,0,8,8,"29,759",29759,0.029759
AR,Transit,338,"1,320,508",47,"66,311",370,385,"1,386,819",1386819,1.386819
AR,Education,"89,206","364,182,234","21,623","21,827,563","96,115","110,829","386,009,797",386009797,386.009797
AR,Libraries,872,"2,776,809",615,"548,369","1,134","1,487","3,325,178",3325178,3.325178
AR,State liquor stores,0,0,0,0,0,0,0,0,0
AR,All other and unallocable,"3,266","12,859,251",549,"558,718","3,481","3,815","13,417,969",13417969,13.417969
CA,Financial Administration,"54,274","376,452,733","4,679","8,979,582","57,173","58,953","385,432,315",385432315,385.432315
CA,Other Government Administration,"30,627","225,362,645","5,432","11,049,514","32,728","36,059","236,412,159",236412159,236.412159
CA,Judicial and Legal,"38,024","336,089,435","1,731","5,612,572","38,943","39,755","341,702,007",341702007,341.702007
CA,Police Protection,"120,273","1,191,375,256","7,032","13,272,437","123,543","127,305","1,204,647,693",1204647693,1204.647693
CA,Fire Protection,"34,390","409,656,591","3,455","4,067,814","35,433","37,845","413,724,405",413724405,413.724405
CA,Corrections,"92,908","760,757,371","2,675","9,809,652","94,568","95,583","770,567,023",770567023,770.567023
CA,Highways,"42,227","342,390,875","3,001","9,439,997","44,019","45,228","351,830,872",351830872,351.830872
CA,Air Transportation,"7,677","59,085,187",509,"1,231,198","8,046","8,186","60,316,385",60316385,60.316385
CA,Sea and Inland Port Facilities,"2,341","20,074,873",326,"753,867","2,567","2,667","20,828,740",20828740,20.82874
CA,Public Welfare,"86,372","488,547,731","3,655","8,372,401","88,429","90,027","496,920,132",496920132,496.920132
CA,Health,"70,582","512,064,374","6,304","22,774,332","74,145","76,886","534,838,706",534838706,534.838706
CA,Hospitals,"93,363","796,388,198","42,050","284,895,518","122,008","135,413","1,081,283,716",1081283716,1081.283716
CA,Social Insurance Administration,"12,662","79,618,216",722,"2,802,638","13,150","13,384","82,420,854",82420854,82.420854
CA,Solid Waste Management,"9,896","70,035,213",805,"2,049,609","10,416","10,701","72,084,822",72084822,72.084822
CA,Sewerage,"11,205","86,406,353",667,"1,186,378","11,493","11,872","87,592,731",87592731,87.592731
CA,Parks and Recreation,"21,034","130,416,567","33,389","41,134,446","35,345","54,423","171,551,013",171551013,171.551013
CA,Housing & Community Development,"11,118","82,738,834","1,023","2,014,271","11,609","12,141","84,753,105",84753105,84.753105
CA,Natural Resources,"23,301","165,742,474","4,839","9,598,139","26,388","28,140","175,340,613",175340613,175.340613
CA,Water Supply,"26,756","243,361,891","1,805","3,240,903","27,505","28,561","246,602,794",246602794,246.602794
CA,Electric Power,"13,919","165,092,414",410,"1,267,492","14,188","14,329","166,359,906",166359906,166.359906
CA,Gas Supply,174,"1,193,810",7,"18,347",179,181,"1,212,157",1212157,1.212157
CA,Transit,"36,954","283,523,389","2,117","5,252,583","38,375","39,071","288,775,972",288775972,288.775972
CA,Education,"717,484","4,883,354,408","562,337","1,011,569,320","933,269","1,279,821","5,894,923,728",5894923728,5894.923728
CA,Libraries,"8,015","48,276,786","8,907","12,702,851","12,232","16,922","60,979,637",60979637,60.979637
CA,State liquor stores,0,0,0,0,0,0,0,0,0
